abase,(v)降低自己、使卑下
abate,(v)減輕、減少
abatement,(n)減輕、減少
acerbic,(adj)苦澀的、刻薄的
acerbity,(n)苦澀、刻薄
acrid,(adj)辛辣的、刻薄的
acrimonious,(adj)(言語;態度)尖酸刻薄的
acrimony,(n)尖刻、刻薄
acrobat,(n)特技演員 acro(高) + bat(走)
acrobatic,(adj)特技飛行的
actuate,(v)驅使、激勵
acuity,(n)(才智的)敏銳;(疾病的)劇烈
acumen,(n)聰明;敏銳
addle,(adj)腐壞的、混濁的
adept,(adj)熟練的、內行的
agile,(adj)靈敏的
agitate,(v)攪動；煽動；使不安
agog,(adj)渴望的、極興奮的
agony,(n)極大的痛苦
agoraphobic,(adj)患田野恐懼症的
agrarian,(adj)土地的
agronomy,(n)農業、農業學
ail,(n)生病
ailment,(n)生病(=illness)
alienate,(v)使疏遠、離間
altruism,(n)利他主義 altru(其他) + ism(主義)
amble,(v)從容漫步、閒逛
ambulatory,(adj)(適宜於)步行的
amiale,(adj)和藹的、親切的
amicable,(adj)友好的
amity,(n)和睦、親善、(國與國之間)友好關係
amplitude,(n)廣大、廣闊
anaerobic,(adj)厭氧的
analgesia,(n)無痛覺、痛覺喪失 an(無、不) + alg(痛) + ia
analgesic,(adj)鎮痛劑、止痛的
anarchy,(n)無政府、政治混亂 an(不) + archy(統治)
ancestry,(n)家系
anguish,(n)極大的痛苦 (=agony)
animadversion,(n)批評、非難anim(心智) + ad(在) + vert(轉)
animadvert,(v)批評、非難anim(心智) + ad(在) + vert(轉)
animosity,(n)憎惡、仇恨 animo(=animal動物) + sity(=city城市) →動物痛恨城市
animus,(n)敵意、贈恨
antagonism,(n)對抗、敵對
antagonistic,(adj)敵對的、對抗的
antagonize,(v)使對抗、與...對抗
antecedent,(n)先例、祖先
antedate,(n)先於、早於
antiquate,(v)廢棄、使過時
antiquated,(adj)過時的、陳舊的 (=obsolete)
antropology,(n)人類學
aptitude,(n)適宜、才能、資質
aquatic,(adj)水中的、水生的
aqueous,(adj)水的
aquifer,(n)含水土層、地下蓄水層
arbiter,(n)權威人士
arbitrary,(adj)專橫的、不講理的
arbitrate,(v)仲裁、公斷
arboreal,(adj)樹木的
arboretum,(n)植物園
ardent,(adj)熱烈的、激烈的
armistice,(n)休戰、停戰 arm(武器) + i + st(停止) + ice
arsenal,(n)軍械庫
arson,(n)縱火、放火
articulate,(adj)清楚表達的、口齒伶俐的
asinine,(adj)愚笨的
asinity,(n)愚蠢、愚蠢的言行
asperity,(n)粗魯、嚴酷
asterisk,(v)註記、星號(*)
asteroid,(n)小行星
astrolabe,(n)星盤
astrology,(n)占星術
astronomical,(adj)天文學的、龐大的
atifice,(n)奸計、詭計 arti(技巧) + fic(做) + e
audacious,(adj)大膽的、無所畏懼的[類]daredevil
audacity,(n)大膽、魯莽、放肆[類]boldness
august,(adj)威嚴的、高貴的 [類]majestic; venerable
avian,(adj)鳥類的
aviary,(n)大鳥籠、鳥舍
avid,(adj)熱情的、熱心的[類]eager; greedy
ballistics,(n)彈道學、發射學
banal,(adj)平庸的、陳腐的
banister,(n)(樓梯的)欄杆
barbarous,(adj)野蠻的、粗俗的
barrage,(n)彈幕；掩護砲火；阻塞
barricade,(n)路障、街壘
barrister,(n)律師
base,(n)卑賤的；基座、底部
baton,(n)警棍、指揮棒 [類]truncheon
battalion,(n)軍營、軍隊
belle,(n)美女
bellicose,(adj)好戰的、好鬥的
belligerence,(n)好戰性、鬥爭性
belligerent,(adj)好鬥的、愛挑釁的
benediction,(n)祝福、祈禱bene(好) + dict(說話) + ion
beneficent,(adj)行善的、慈善的
benevolent,(adj)善心的、仁心的
benigh,(adj)無害的、善良的[類]kindly; gentle
bibber,(n)酒鬼、貪喝酒的人
bibliography,(n)文獻學、參考書目
bibliomania,(n)藏書癖
bibliophile,(n)藏書家
bibulous,(adj)飲酒的、喝醉的
bid,(v)出價、命令
blanch,(v)使變白、變蒼白
blemish,(n)玷汙、瑕疵
blithe,(adj)無憂的、快樂的
blockbuster,(n)巨型炸彈、一鳴驚人的事情
bombardment,(n)砲擊、轟炸
bombast,(n)高調、誇大之詞
bombastic,(adj)誇大的[類]pompous
bonhomie,(n)好性情、溫和
bonny,(adj)健美的、漂亮的
bouncing,(adj)精力充沛的、健康的
bounteous,(adj)慷慨的、豐富的
brevity,(n)簡潔、簡練
bust,(n)使爆裂、使爆發
cadaver,(n)屍體
cadence,(n)抑揚頓挫、節奏、韻律
callous,(adj)冷酷無情的、沒同情心的[類]heartless
callus,(n)(指手或腳上的)老繭
candid,(adj)(指對棘手或痛苦的事情)率直的、直言不諱的
candor,(n)坦白[類] unreserved; honest; sincere
cascade,(n)小瀑布;串聯
casualty,(n)傷亡者
coagulant,(n)凝結劑
coagulate,(v)使凝結
coalesce,(v)聯合、合併
coalition,(n)同盟、聯合
combative,(adj)好鬥的
combustible,(adj)易燃的、易激動的
debar,(v)阻止
debase,(v)貶低、貶損
debonair,(adj)迷人的、友好的
debrief,(v)聽取匯報、簡報；向...詢問
decadence,(n)衰落、頹廢
decamp,(v)離營、匆忙離開
deft,(adj)靈巧的
demagogue,(n)蠱惑民心的政客、煽動家
embargo,(n)禁運、封港令em + bar(阻攔) + go(去)
embellish,(v)美化、裝飾
embellishment,(n)裝飾品、裝飾
enamored,(adj)迷戀的
enmity,(n)敵意、不合
exacerbate,(v)使惡化
exalt,(v)讚揚、歌頌[類]extol ; laud[反]lambaste; pan; deprecate; disparage; excoriate; vilify
exalted,(adj)崇高的、高貴的
exasperate,(v)使惱怒、激怒
exasperation,(n)激怒、惱怒
exigency,(n)應急情況
exigent,(adj)緊急的、要求多的
exltation,(n)得意洋洋、欣喜
forbidding,(adj)可怕的(外貌)
hyperbole,(n)誇張(法)、誇飾
hyperbolize,(v)誇大
imbible,(v)喝(酒)、飲(酒)
inalienable,(adj)不可剝奪的
inarticulate,(adj)發音不清楚的
incandescence,(n)白熱、白熱光in(進入) + cand(光)
incandescent,(adj)發白熱光的
incendiary,(adj)放火的、縱火的
incense,(n)(尤指宗教儀式用的)香in(使) + cense(發光)
inept,(adj)無能的、不恰當的
ineptitude,(n)無能、不稱職的
inimical,(adj)有敵意的、不合的
lambaste,(v)痛打、斥責、猛烈抨擊
matriarchy,(n)母權制、母系社會
misanthrope,(n)憤世嫉俗者 mis(恨) + anthrop (人)
monarch,(n)君主、帝王mon (單個) + archy(統治)
nonchalance,(n)漠不關心non(不) + chal(熱) + ance
nonchalant,(adj)無憂無慮的、漠不關心的
nostalgia,(n)思鄉病 nost(家) + alg(痛) + ia
occidental,(adj)西方的、西方文化的
oligarch,(n)寡頭政治執政者
patriarchal,(n)父權制、父系社會
pedagogue,(n)學究、老師
pedagogy,(n)教育學、教學法
perambulate,(v)巡行於、勘查per(完全) + amble(行走)
peregrinate,(n)遊歷、旅行per(完全) + egr(=agr田地)→遊歷
perennial,(adj)終年的、永久的per(完全) + enn(年)
philanthropic,(adj)博愛的、仁慈的phil(愛) + anthrop(人)
preamble,(n)前言、先兆pre(前) + amble(行走)
prodigal,(adj)非常浪費的、揮霍的
protagonist,(n)主演、主角、主唱者
pusillanimous,(adj)膽小的(sounds like pussy→膽小)
ramble,(v)閒逛、漫步
reactionary,(adj)保守的、反動的
reagent,(n)試劑(導致化學反應)
rebarbative,(adj)令人討厭的
rebate,(n)折扣、回扣
rebellious,(adj)反抗的、難控制的
recalcitrant,(adj)頑抗的、難以控制的[類]unruly; refractory;[反]docile; tractable
scald,(v)燙、用熱水消毒的
scalding,(adj)滾燙的
scramble,(v)爬行、攀爬
self-abasement,(n)自卑、自謙
shamble,(v)蹣跚而行
superannuate,(v)使領養老金退休、解雇
superannuated,(adj)老邁的super(超過) + annu(年) + ated
unanimous,(adj)全體一致的uni(一個) + anim(生命、精神)
unbidden,(adv)未受邀請的
accentuate,(v)以重音讀出、著重、強調ac(加強) + cent(唱、說)
canorous,(adj)音調優美的、響亮的
cantankerous,(adj)愛唱反調的、脾氣壞的[類]contentious、malicious、irascible、quarrelsome
cantata,(n)清唱劇、大合唱
canto,(n)(長詩的)篇(舞台朗誦用)
chant,(n)歌唱、背誦
enchant,(v)使陶醉、施魔法於
disenchant,(v)對...不在抱幻想、使清醒
incantation,(n)咒語
recant,(v)改變、放棄(信仰或聲明)
recantation,(n)改變宗教信仰
capitation,(n)人頭稅
capitulate,(v)(有條件)投降
capsize,(v)使翻船、傾覆
recapitulate,(v)概括、扼要重述
capacious,(adj)容量大的、寬敞的
captious,(adj)吹毛求疵的[類]carping; cap(抓住) + tious(多...的)
captivate,(v)吸引、迷惑
captivating,(adj)吸引人的
encapsulation,(n)概括
encapsulate,(v)裝入膠囊、概括、摘要
incapacitate,(v)使無能力、不適合
cardiac,(adj)心臟的
cardinal,(adj)最重要的
cardiogram,(n)心電圖
cardiologist,(n)心臟病專家
carnage,(n)大屠殺、殘殺
carnival,(n)嘉年華會
carnivorous,(adj)肉食動物的
carrion,(n)腐肉
incarcerate,(v)下獄、監禁
incarnate,(adj)具肉體的、化身的
reincarnate,(v)使化身、投胎
caustic,(adj)腐蝕性的、苛薄的
cauterize,(v)燒灼、腐蝕
holocaust,(n)大屠殺、浩劫
cavern,(n)大洞穴
cavity,(n)洞、腔
concave,(adj)凹地
excavate,(v)挖掘、外出
cavalcade,(n)騎兵隊伍
cavalier,(n)滿不在乎的、漫不經心的
chivalrous,(adj)騎士風度的；(對女士)彬彬有禮的、體貼的
accede,(v)同意
antecedence,(n)居先、先行[類]priority
antecedent,(n)先例、前情
cede,(v)割讓、放棄
cessation,(n)中止、(暫時)停止
cession,(n)割讓、轉讓
concede,(v)承認、讓步
incessant,(adj)不停的、連續的[類]constant; unremitting[反]sporadic
intercede,(v)說好話、代為求情
intercessor,(n)調停者
precede,(v)在...之前、早於
precedent,(n)在先前的
unprecedented,(adj)前所未有的
predecessor,(n)前任、前輩
proceed,(n)收益、收入
procession,(n)行列、前進
recede,(v)後退、收回
recess,(n)(議會)休會期、休假
recessive,(adj)後退的、隨性的
secede,(v)正式脫離或退出;se(分開) + cede(走)
celestial,(adj)天體的、天上的
subcelestial,(adj)世俗的、塵世的;sub(下面) + cel(天國)
celerity,(n)迅速、快速
censorious,(adj)好批評的、好吹毛求疵的
censure,(v)責備、譴責
censor,(n)審查、檢查
census,(n)人口普查、調查
centrifugal,(adj)離心的;centri(中心) + fugal(逃跑)
centripetal,(adj)向心的;centri(中心) + pet(追求)
decentralize,(v)使分散
egocentric,(adj)自我中心的
deceive,(v)欺騙
deceptive,(adj)欺騙的
inception,(n)開始、開端、起初
intercept,(v)中途攔截
perceive,(v)理解、領悟、察覺
perception,(n)感覺、洞察力;per(完全) + ecpt(拿)
perceptive,(adj)感知的、知覺的
percept,(n)箴言、格言;pre(先) + cept(拿)
receptive,(adj)善於接受的
receptacle,(n)容器
susceptible,(adj)易受影響的、易被感動的
discern,(v)(費力地)識別、看出
discernible,(adj)可識別的
discerning,(adj)識別力強的
indiscernible,(adj)無法分辨的
certitude,(n)確定無疑
incertitude,(n)疑惑、不確定
chaste,(adj)純潔的、樸實的
chasten,(v)(懲罰後)改正、磨練
chastise,(v)懲罰、譴責
castigate,(n)懲治、嚴責
achromatic,(adj)非彩色的、無色的a(無) + chrom(顏色)
chromatic,(adj)彩色的
chromosome,(n)染色體
monochromatic,(adj)單色的;mono(單一) + chrom(顏色)
anachronistic,(adj)時代錯誤的 ana(不、錯誤) + chron(時間)
anachronism,(n)過時的人、事、物ana(不、錯誤) + chron(時間)
chronic,(adj)慢性的、長期的
chronological,(adj)依時間前後排列而記載的
synchronize,(v)同步、同時發生
synchronous,(adj)同時發生的syn(共同) + chron(時間)
synchronization,(n)同步
concise,(adj)簡潔的
excise,(v)割去；向...徵稅
exorcise,(v)驅魔、除去(壞念頭)exo(出、外) + r + cise(切)
incise,(v)切、切割
incision,(n)切口、切割
incisor,(n)門牙
ciliate,(adj)有睫毛的、有纖毛的
supercilious,(adj)目中無人的super(超) + cil(眉)
succinct,(adj)簡明的、簡潔的suc(下面) + cinct(束起)
succinctness,(n)簡明、簡潔
cinerary,(adj)灰的、骨灰的
incinerate,(v)焚化、毀棄
emancipate,(v)解放、解除e(出) + man(手) + cip(拿) + ate
reciprocal,(adj)相互的、互惠的
reciprocate,(v)回報、答謝
reciprocity,(n)相互性、互惠
incipient,(adj)初期的、剛出現的
precipitate,(v)降水、加速、促成...發生
precipitation,(n)降水量
precipitous,(adj)陡峭的
precipice,(n)懸崖(垂直落下)
precipitant,(n)沉澱劑
cipher,(n)密碼
decipher,(v)解開(謎團)、破譯(密碼)
encipher,(v)譯成密碼
indecipherable,(adj)無法破譯的
undecipherable,(adj)難破譯的
incite,(v)激勵、激起
insouciance,(n)無憂無慮、不注意、不在乎
insouciant,(adj)漫不經心的、不在乎的in(不再) + souc(召喚)
recital,(n)背誦、朗誦
resuscitate,(v)使復活、復甦
solicit,(v)懇求、請求
solicitous,(adj)關心的、操心的
solicitude,(n)懸念、擔憂
clamor,(n)吵鬧、喧鬧
declaim,(v)高談闊論、慷慨陳詞
declamation,(n)雄辯、高調
declamatory,(adj)激昂的、雄辯的
disclaim,(v)放棄、否認
proclaim,(v)宣告、宣布
reclaim,(v)重新取得
clandestine,(adj)祕密的、暗中的
clannish,(adj)排他的、門戶之見
clairvoyance,(n)超人的洞察力
clairvoyant,(adj)有洞察力的
anticlimactic,(adj)突減的、掃興的
anticlimax,(n)掃興、掃興的結局
disinclination,(n)不情願、不願意
proclivity,(n)傾向[類]inclination
recline,(v)斜倚、躺臥
claustrophobic,(adj)患幽閉恐懼症的
conclusive,(adj)決定性的、確實的
cloister,(n)修道院
cloture,(n)(議會)討論終結
enclosure,(n)圍住、封入
foreclose,(v)排除、取消抵押品的贖回權
inclusive,(adj)包含的
occlude,(v)使閉塞
preclude,(v)避免、排除
recluse,(n)隱士
reclusive,(adj)隱遁的、隱居的
seclude,(v)使隔離、孤立
concoct,(v)調製、捏造
concoction,(n)混合(物)
precocious,(adj)早熟的、早成的
cogitate,(v)慎重思考、思索
excogitate,(v)認真想出ex(出) + cogit(思考) + ate
cognate,(adj)同類的
cognitive,(adj)認知的、感知的
cognizance,(n)認知、認定
cognizant,(adj)知道的、認識的
cognomen,(n)姓氏
accolade,(n)推崇、讚揚
commodious,(adj)寬敞的、大的
concilate,(v)安撫、馴服
concilatory,(adj)撫慰的、調和的
irreconcilable,(adj)不能調和的、矛盾的
reconcile,(v)和解、調和
abscond,(v)逃亡
ensconce,(v)安置、安頓
recondite,(adj)深奧的
concord,(n)一致、協調
cordial,(adj)熱忱的、衷心的
excoriate,(v)痛責、剝(皮)
cornucopia,(n)象徵豐收的羊角;corn(角) + u + copia(豐富)
copious,(adj)豐富的、多產的[類]plentiful; abundant
corny,(adj)平淡無奇的
coronation,(n)加冕
